,delivery_region,lot_name,count
4712,Краснодарский,Услуги по чистке печей и дымоходов,23
22114,Тюменская,"Работы завершающие и отделочные в зданиях и сооружениях, прочие, не включенные в другие группировки",23
5834,Москва,Бухгалтерская карточка,23
8055,Москва,Наушники...,23
20533,Сургут,Машины посудомоечные бытовые,23
7787,Москва,Монтаж оборудования систем мониторинга зданий и сооружений,23
22010,Тюменская,Препараты для лечения заболеваний печени и желчевыводящих путей,23
6284,Москва,Древесноплитные материалы....,23
6687,Москва,Инструмент ручной столярный и слесарный прочий...,23
17752,Пермский,Услуги шиномонтажные,23
6744,Москва,Исследования информационно-аналитические,23
10203,Москва,"Составные и заменяемые части, принадлежности и комплектующие для оборудования для оториноларингологии",23
18813,Псковская,Препараты диагностические,23
24287,Ямало-Ненецкий,"Услуги вспомогательные, связанные с предпринимательской деятельностью, прочие, не включенные в другие группировки",23
11725,Москва,Щетки для уборки,23
10751,Москва,Термометр жидкостный стеклянный технический,23
24591,Ямало-Ненецкий,Услуги по широкополосному доступу к информационно-коммуникационной сети Интернет по проводным сетям,23
6271,Москва,Доски для образовательных организаций,23
14375,Новороссийск,"Услуги в области метрологии прочие, не включенные в другие группировки",23
18999,Псковская,Средства дезинфекционные,23
17276,Пермский,"Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",23
9172,Москва,Продукция химическая для реставрации,23
6835,Москва,Капитальный ремонт зданий и сооружений культуры и образования....,23
21836,Тюменская,"Машины вычислительные электронные цифровые прочие, содержащие или не содержащие в одном корпусе одно или два из следующих устройств для автоматической обработки данных: запоминающие устройства, устройства ввода, устройства вывода",23
7198,Москва,Консалтинг юридический,23
4568,Краснодарский,Услуги по продаже места для рекламы в печатных средствах информации за вознаграждение или на договорной основе,23
22281,Тюменская,Услуги (работы) по регулярным перевозкам пассажиров автобусами в междугородном и международном сообщении,23
11799,Москва,Электроды для электрокардиограммы (экг)  и принадлежности к ним,23
3885,Краснодарский,"Приборы и аппараты для функциональной диагностики прочие, применяемые в медицинских целях, не включенные в другие группировки",23
21026,Сургут,"Услуги по чистке и уборке прочие, не включенные в другие группировки",23
21860,Тюменская,"Мешки и сумки, включая конические, из полимеров этилена",23
3302,Краснодарский,"Инструменты ручные прочие с механизированным приводом, не включенные в другие группировки",23
17629,Пермский,Услуги по специализированному дизайну прочие,23
16549,Пермский,"Плиты, листы, пленка, лента и прочие плоские полимерные самоклеящиеся формы, в рулонах шириной не более 20 см",22
14460,Новороссийск,"Услуги по техническим испытаниям и анализу прочие, не включенные в другие группировки",22
16786,Пермский,"Работы кровельные прочие, не включенные в другие группировки",22
9231,Москва,Профессиональная переподготовка....,22
11848,Москва,Энергосберегающие лампы....,22
14398,Новороссийск,"Услуги по инженерно-техническому проектированию прочих объектов, кроме объектов культурного наследия",22
10475,Москва,Стенты пищеводные одноразовые,22
21940,Тюменская,"Одежда производственная и профессиональная прочая, не включенная в другие группировки",22
8584,Москва,Пакет офисных программ,22
4733,Краснодарский,Услуги скорой медицинской помощи,22
10279,Москва,"Справочная литература, словари....",22
9118,Москва,Проведение инструментального обследования прочих объектов....,22
17771,Пермский,"Услуги, предоставляемые коммерческими и предпринимательскими членскими организациями",22
10275,Москва,Спортивные секундомеры....,22
21916,Тюменская,"Оборудование дыхательное прочее, не включенное в другие группировки",22
22515,Тюменская,"Услуги по чистке и уборке прочие, не включенные в другие группировки",22
6308,Москва,Ежедневники.,22
22148,Тюменская,"Работы строительные специализированные прочие, не включенные в другие группировки",22
18715,Псковская,Оригиналы программного обеспечения прочие,22
8895,Москва,Покрывала....,22
7097,Москва,Коммунальные услуги по газоснабжению....,22
24585,Ямало-Ненецкий,Услуги по утилизации прочих опасных отходов,22
6085,Москва,Гидроизоляции...,22
5309,Москва,Data-кабели....,22
11818,Москва,Электромонтажные работы,22
2776,Кемеровская область - Кузбасс,"Услуги по техническим испытаниям и анализу прочие, не включенные в другие группировки",22
3569,Краснодарский,"Мебель медицинская прочая, включая хирургическую, стоматологическую или ветеринарную, и ее части",22
8573,Москва,"ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ,L01",22
16038,Пермский,Инструменты и приспособления стоматологические прочие,22
18935,Псковская,Растворы плазмозамещающие и перфузионные,22
10527,Москва,Столы компьютерные,22
901,Валдайский,ОКПД 2,22
4076,Краснодарский,"Рамы деревянные для картин, фотографий, зеркал или аналогичных предметов из дерева",22
5372,Москва,Аккумулятор,22
14670,Новосибирская,Принадлежности канцелярские или школьные пластмассовые,22
7856,Москва,Мундштуки одноразовые для алкотестеров,22
9438,Москва,Разработка псд на объекты транспортной инфраструктуры и дорожного хозяйства....,22
20915,Сургут,"Услуги по инженерно-техническому проектированию прочих объектов, кроме объектов культурного наследия",22
4772,Краснодарский,Установки для фильтрования или очистки воздуха,22
12538,Муравленко,Услуги по профессиональному обучению прочие,22
9434,Москва,Разработка псд на зеленые насаждения....,22
16870,Пермский,Работы электромонтажные по прокладке телекоммуникационной проводки,22
3996,Краснодарский,"Работы по монтажу водопроводных и канализационных систем прочие, не включенные в другие группировки",22
3991,Краснодарский,"Работы монтажные прочие, не включенные в другие группировки",22
10947,Москва,Тумбочка прикроватная,22
17875,Пермский,Части и принадлежности прочих офисных машин,22
17883,Пермский,Части прочего оборудования специального назначения,22
8227,Москва,Оборудование спортивное уличное...,22
13796,Новгородская,"Услуги печатные прочие, не включенные в другие группировки",22
10749,Москва,Термометр биметаллический....,22
3011,Краснодарский,"Бензин автомобильный с октановым числом не менее 80, но не более 92 по исследовательскому методу экологического класса К5",22
7496,Москва,Лицензии и сертификаты,22
15987,Пермский,"Изделия столовые, кухонные и бытовые и их детали из алюминия",22
7725,Москва,Микроскопы,22
13923,Новгородская,Услуги посреднические при оценке нежилого недвижимого имущества за вознаграждение или на договорной основе,22
6712,Москва,Инструменты электрохирургические,22
9482,Москва,Растворы строительные...,22
10596,Москва,Струны для музыкальных инструментов,22
11129,Москва,"Услуги по обращению с отходами, не схожими по составу с отходами, образующимися в жилых помещениях....",22
22393,Тюменская,Услуги по планировке ландшафта,22
13790,Новгородская,Услуги консультативные по вопросам стратегического управления,22
24247,Ямало-Ненецкий,Услуги больниц прочие,22
4268,Краснодарский,"Столы письменные деревянные для офисов, административных помещений",22
8482,Москва,Освежители воздуха...,22
10715,Москва,Тенты....,22
10720,Москва,Тепловентиляторы...,22
11290,Москва,Установка приборов учета воды,22
8611,Москва,Пантографические подъемники,22
8978,Москва,Почвогрунт искусственный многокомпонентный заводского изготовления,22
23732,Ямало-Ненецкий,"Мебель для сидения, преимущественно с металлическим каркасом",22
9028,Москва,"Приборы столовые, кухонные из нержавеющей стали",22
9041,Москва,Прием врача,22
11332,Москва,Устройства зарядные для аккумуляторных батареек....,22
7017,Москва,Клинико-диагностические исследования,22
21866,Тюменская,Миорелаксанты,22
17710,Пермский,"Услуги прочие по составлению телепрограмм и вещанию, кроме программ, доступных только на основе подписки",22
18449,Псковская,Инструменты и приспособления стоматологические,22
7193,Москва,Консалтинг управленческий прочий,22
18210,Псков,ОКПД 2,22
7957,Москва,Наборы мебели для образовательных организаций,21
7713,Москва,Мешки патологоанатомические,21
9538,Москва,Расходные материалы и комплектующие для факсимильных аппаратов....,21
17366,Пермский,Услуги по обработке данных,21
8115,Москва,Обложки для переплета пластиковые...,21
21646,Тюменская,Гемостатики,21
16183,Пермский,"Краны, клапаны для раковин, моек, биде, унитазов, ванн и аналогичная арматура",21
6636,Москва,Инвентарь для спасательных служб и служб гражданской обороны прочий,21
9083,Москва,Принтеры специализированные прочие,21
4765,Краснодарский,"Услуги, связанные с лесоводством, прочие, не включенные в другие группировки",21
3778,Краснодарский,"Петли, арматура крепежная, фурнитура и аналогичные изделия для дверей и окон из недрагоценных металлов",21
730,Брянская,Услуги в виде инженерно-технических консультаций по энергосбережению и повышению энергетической эффективности,21
16649,Пермский,"Препараты, применяемые при кашле и простудных заболеваниях",21
6644,Москва,Инвентарь для хоккея,21
11095,Москва,Услуги по вывозу снега с территорий образовательных организаций,21
542,Брянская,Обеспечение программное прикладное прочее на электронном носителе,21
20543,Сургут,"Мебель деревянная прочая, не включенная в другие группировки",21
11897,Московская,Бумага для печати прочая,21
22008,Тюменская,Препараты для лечения заболеваний нервной системы прочие,21
23371,Ямало-Ненецкий,Батареи аккумуляторные прочие,21
7036,Москва,Книги учета универсальные.,21
4819,Краснодарский,"Фонари электрические переносные, работающие от батарей сухих элементов, аккумуляторов, магнето",21
12831,Надымский,"Работы завершающие и отделочные в зданиях и сооружениях, прочие, не включенные в другие группировки",21
24500,Ямало-Ненецкий,Услуги по ремонту и техническому обслуживанию прочего профессионального электрического оборудования,21
10810,Москва,Техническое обслуживание и текущий ремонт инженерных коммуникаций в зданиях,21
22009,Тюменская,Препараты для лечения заболеваний органов дыхания прочие,21
4539,Краснодарский,Услуги по подготовке кадров высшей квалификации,21
19507,Пуровский,Оригиналы программного обеспечения прочие,21
16771,Пермский,Психоаналептики,21
4775,Краснодарский,Устройства ввода сенсорные,21
16028,Пермский,"Инструмент слесарно-монтажный прочий, не включенный в другие группировки",21
24297,Ямало-Ненецкий,"Услуги консультативные, предоставляемые врачами общей врачебной практики",21
22002,Тюменская,"Препараты гормональные для системного использования, кроме половых гормонов",21
3243,Краснодарский,"Изделия прочие из бумаги и картона, не включенные в другие группировки",21
11306,Москва,Установки пожаротушения автоматические,21
16648,Пермский,"Препараты, влияющие на систему ренин-ангиотензин",21
14576,Новосибирская,"Изделия различные прочие, не включенные в другие группировки",21
16667,Пермский,"Приборы и аппаратура для физического или химического анализа прочие, не включенные в другие группировки",21
3224,Краснодарский,"Изделия из нетканых материалов прочие, кроме одежды",21
10600,Москва,Стулья на деревянном каркасе,21
9803,Москва,Рукава пожарные напорные,21
6525,Москва,Изготовление прочих изделий в информационно-технологической сфере,21
9265,Москва,Прочие системы отображения информации,21
10421,Москва,Стекла предметные,21
12278,Мошенской,Услуги в области кадастровой деятельности,21
8627,Москва,Паспортизация оборудования....,21
16624,Пермский,Препараты для лечения обструктивных заболеваний дыхательных путей,21
10447,Москва,Стеллажи офисные,21
6493,Москва,Идентификаторы.,21
17527,Пермский,Услуги по размещению в информационно-коммуникационной сети Интернет,21
3570,Краснодарский,"Мебель медицинская, включая хирургическую, стоматологическую или ветеринарную, и ее части",21
8565,Москва,"ПРОТИВОВИРУСНЫЕ ПРЕПАРАТЫ ДЛЯ СИСТЕМНОГО ИСПОЛЬЗОВАНИЯ,J05",21
13741,Новгородская,Сыворотки иммунные,21
5887,Москва,Весы электронные бытовые...,21
498,Брянская,Масло сливочное,21
9250,Москва,Прочие автоаксессуары...,21
8649,Москва,Перевозка пассажиров внутригородская легковыми такси,21
9516,Москва,Расходные материалы для спецсредств для спасательных служб и служб гражданской обороны....,21
9801,Москва,Ртутные лампы....,21
16299,Пермский,"Мебель для сидения, преимущественно с металлическим каркасом",21
7245,Москва,Контрольно-измерительное оборудование....,21
21670,Тюменская,Диуретики,21
9734,Москва,Ремонт оборудования теплоснабжения,21
4008,Краснодарский,"Работы по монтажу систем освещения и сигнализации автомобильных дорог, аэропортов и портов",21
17897,Пермский,"Шины и покрышки пневматические для автобусов, троллейбусов и грузовых автомобилей новые",21
5716,Москва,Бинты эластичные и гипсовые,21
11181,Москва,"Услуги по ремонту и техническому обслуживанию прочего оборудования общего назначения, не включенного в другие группировки",21
6661,Москва,Индикатор для контроля эффективности очистки медицинских инструментов,21
22403,Тюменская,Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя,21
5835,Москва,"Быстрые тесты для бесприборной диагностики сепсиса, вируса иммунодефицита человека (вич)",21
6095,Москва,Гитары,21
10677,Москва,Текущий ремонт малых архитектурных форм....,21
8506,Москва,Отпариватели...,21
3718,Краснодарский,"Овощи (кроме картофеля), консервированные без уксуса или уксусной кислоты, прочие (кроме готовых овощных блюд)",21
7571,Москва,Масла компрессорные,21
11635,Москва,Шкафы для учебных пособий,21
6657,Москва,Ингалятор ультразвуковой,21
8587,Москва,"Пакеты бумажные для медицинской паровой, газовой, радиационной и воздушной стерилизации",21
16001,Пермский,Иммуномодуляторы,21
20456,Сургут,"Кислота аскорбиновая, включая комбинации с другими препаратами",21
5910,Москва,Видеорегистраторы...,21
10839,Москва,Техническое обслуживание лабораторного оборудования....,21
11774,Москва,Электрический пожарный инвентарь....,21
8883,Москва,Подъемники для больных и инвалидов,21
23899,Ямало-Ненецкий,Препараты антибактериальные для системного использования,21
7745,Москва,"Множественные наркотики ивд, набор, иммунохроматографический анализ, экспресс-анализ",21
17353,Пермский,"Услуги по монтажу прочего оборудования общего назначения, не включенного в другие группировки",21
14136,Новороссийск,Журналы печатные прочие и периодические издания,21
2633,Кемеровская область - Кузбасс,Услуги в области обеспечения безопасности прочие,21
11062,Москва,Услуги информационных агентств,21
19571,Пуровский,"Работы строительные по строительству автомагистралей, автомобильных дорог, улично-дорожной сети и прочих автомобильных или пешеходных дорог, и взлетно-посадочных полос аэродромов",21
3561,Краснодарский,"Мебель деревянная прочая, не включенная в другие группировки",21
10982,Москва,Указки для досок...,21
17866,Пермский,Части и комплектующие коммуникационного оборудования,21
17728,Пермский,"Услуги социальные без обеспечения проживания прочие, не включенные в другие группировки",21
3279,Краснодарский,Инвентарь и оборудование для борьбы,21
4163,Краснодарский,Смеси песчано-гравийные,21
8321,Москва,Обслуживание техническое и текущий ремонт торгового оборудования,21
22368,Тюменская,Услуги по общей уборке зданий,21
24383,Ямало-Ненецкий,"Услуги по опорожнению и чистке выгребных ям, сточных колодцев и септиков",21
8274,Москва,Обслуживание техническое и текущий ремонт вентиляционного оборудования,21
22493,Тюменская,Услуги по технической инвентаризации недвижимого имущества нежилого фонда,21
24414,Ямало-Ненецкий,Услуги по переработке отходов неопасных для окончательной утилизации,21
22021,Тюменская,Препараты для лечения функциональных расстройств желудочно-кишечного тракта,21
6330,Москва,Животные....,21
9427,Москва,Разработка проектной документации на благоустройство территорий,21
19138,Псковская,Услуги по профессиональному обучению прочие,21
11296,Москва,Установки вентиляционные....,21
8264,Москва,Обслуживание техническое и содержание водосточной сети,21
8003,Москва,"Накостный остеосинтез большеберцовой, малоберцовой кости",21
22102,Тюменская,"Прочие персональные услуги, не включенные в другие группировки",20
4551,Краснодарский,"Услуги по предоставлению внутризоновых, междугородных и международных телефонных соединений",20
11557,Москва,Части для реставрационного оборудования,20
9272,Москва,Прочий общий инвентарь для спортивных игр...,20
4882,Краснодарский,Чернила прочие,20
1979,Кемеровская область - Кузбасс,"Компьютеры портативные массой не более 10 кг, такие как ноутбуки, планшетные компьютеры, карманные компьютеры, в том числе совмещающие функции мобильного телефонного аппарата",20
20308,Сургут,Аппаратура для воспроизведения звука прочая,20
3108,Краснодарский,Гигрометры,20
13791,Новгородская,Услуги консультативные прочие в области предпринимательства,20
10299,Москва,Средства для мытья посуды,20
24378,Ямало-Ненецкий,"Услуги по обычному (текущему) техническому обслуживанию и ремонту легковых автомобилей и легких грузовых автотранспортных средств, кроме услуг по ремонту электрооборудования, шин и кузовов",20
24377,Ямало-Ненецкий,Услуги по общей уборке зданий,20
17,Батецкий,ОКПД 2,20
19698,Пуровский,Услуги по оценке условий труда,20
10691,Москва,"Текущий ремонт спортивных сооружений, мест отдыха....",20
8705,Москва,Печенье сладкое,20
8323,Москва,Обслуживание техническое и текущий ремонт холодильного оборудования,20
7641,Москва,Машины поломоечные профессиональные....,20
8464,Москва,Организация и проведение торгов....,20
8694,Москва,Песочница,20
7332,Москва,Кресла для конференц залов,20
4233,Краснодарский,"Средства транспортные и оборудование прочие, не включенные в другие группировки",20
11675,Москва,Шпатлевки...,20
21963,Тюменская,Перчатки хирургические из каучукового латекса стерильные одноразовые,20
4602,Краснодарский,"Услуги по ремонту и техническому обслуживанию облучающего, электрического диагностического и электрического терапевтического оборудования, применяемого в медицинских целях",20
3282,Краснодарский,Инвентарь и оборудование для спортивной и художественной гимнастики,20
3544,Краснодарский,Машины офисные прочие,20
10524,Москва,Столы журнальные,20
22319,Тюменская,Услуги организаций санитарно-эпидемиологической службы,20
15659,Пермский,Аппараты электродиагностические прочие,20
9244,Москва,Прочее каналообразующее оборудование....,20
4894,Краснодарский,Шкафы деревянные прочие,20
24391,Ямало-Ненецкий,"Услуги по организации отдыха и развлечений прочие, не включенные в другие группировки",20
18600,Псковская,"Машины вычислительные электронные цифровые прочие, содержащие или не содержащие в одном корпусе одно или два из следующих устройств для автоматической обработки данных: запоминающие устройства, устройства ввода, устройства вывода",20
3653,Краснодарский,Насосы центробежные подачи жидкостей прочие,20
15989,Пермский,"Изделия столовые, кухонные и бытовые и их детали из нержавеющей стали",20
8548,Москва,"ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ ГЛАЗ,S01",20
14089,Новокузнецк,ОКПД 2,20
17046,Пермский,Среды готовые питательные для выращивания микроорганизмов,20
24405,Ямало-Ненецкий,"Услуги по перевозке пассажиров сухопутным транспортом прочие, не включенные в другие группировки",20
11661,Москва,Шлифмашины,20
7032,Москва,Ключницы.,20
16592,Пермский,Предметы домашнего обихода пластмассовые прочие,20
10577,Москва,Строительство многоквартирных жилых домов....,20
24006,Ямало-Ненецкий,"Прочие услуги по техническому обслуживанию и ремонту прочих автотранспортных средств, не включенные в другие группировки",20
869,Брянская,Шины и покрышки пневматические для легковых автомобилей новые,20
5894,Москва,Вешалки для одежды деревянные,20
2640,Кемеровская область - Кузбасс,Услуги геологические и геофизические консультативные,20
17532,Пермский,Услуги по распределению и снабжению газовым топливом всех видов по системам распределительных трубопроводов,20
2840,Кемеровская область - Кузбасс,"Устройства периферийные с двумя или более функциями: печать данных, копирование, сканирование, прием и передача факсимильных сообщений",20
4753,Краснодарский,Услуги школ подготовки водителей автотранспортных средств,20
16800,Пермский,"Работы по монтажу водопроводных и канализационных систем прочие, не включенные в другие группировки",20
11715,Москва,Щебень,20
6943,Москва,Катетеры центральные венозные для взрослых,20
5451,Москва,Антикоррозионные покрытия....,20
3676,Краснодарский,"Оборудование для кондиционирования воздуха прочее, не включенное в другие группировки",20
4471,Краснодарский,Услуги по мониторингу загрязнения окружающей среды для физических и юридических лиц,20
7375,Москва,Куличи пасхальные,20
14749,Новосибирская,Услуги по заправке картриджей для принтеров,20
9536,Москва,Расходные материалы и комплектующие для устройств копировально-множительных...,20
3780,Краснодарский,Печенье сладкое,20
11378,Москва,Устройство уличных лестниц....,20
5456,Москва,"Антисептики, морилки, пропитки....",20
20400,Сургут,"Изделия детской мебели прочие, не включенные в другие группировки",20
11091,Москва,Услуги по аттестации персонала,20
6305,Москва,Дыроколы канцелярские...,20
13830,Новгородская,"Услуги по организации отдыха и развлечений прочие, не включенные в другие группировки",20
17374,Пермский,"Услуги по обычному (текущему) техническому обслуживанию и ремонту прочих автотранспортных средств, кроме услуг по ремонту электрооборудования и кузовов",20
7337,Москва,Кресла-коляски,20
8793,Москва,Плинтусы....,20
14779,Новосибирская,Услуги по подметанию и уборке снега,20
10049,Москва,Системы хранения данных,20
2749,Кемеровская область - Кузбасс,"Услуги по ремонту и техническому обслуживанию прочего оборудования специального назначения, не включенные в другие группировки",20
5674,Москва,Барабаны акустические,20
3577,Краснодарский,Место для рекламы в печатных газетах,20
8792,Москва,Плетеная рассасывающаяся нить,20
7795,Москва,"Монтаж, установка, наладка систем видеонаблюдения прочие",20
9888,Москва,Сбор и анализ (обработка) сведений,20
16849,Пермский,"Работы строительные по возведению нежилых зданий и сооружений (работы по строительству новых объектов, возведению пристроек, реконструкции и ремонту зданий)",20
23053,Чудовский,ОКПД 2,20
5354,Москва,Автомобильная косметика,20
9100,Москва,"Пробирка вакуумная для взятия образцов крови ивд, с активатором свертывания",20
17571,Пермский,Услуги по ремонту прочего оборудования,20
7464,Москва,Лестницы переносные...,20
807,Брянская,"Услуги по техническим испытаниям и анализу прочие, не включенные в другие группировки",20
1420,Губкинский,"Работы строительные специализированные прочие, не включенные в другие группировки",20
12833,Надымский,"Работы монтажные прочие, не включенные в другие группировки",20
3216,Краснодарский,Изделия для праздников и карнавалов прочие,19
2899,Кемеровская область - Кузбасс,"Шприцы, иглы, катетеры, канюли и аналогичные инструменты",19
9826,Москва,Ручные коммутаторы,19
8138,Москва,Оборудование для банка и инкассации прочее...,19
19766,Пуровский,"Услуги по техническим испытаниям и анализу прочие, не включенные в другие группировки",19
9126,Москва,Проведение психиатрических освидетельствований,19
10788,Москва,Технические средства освещения,19
5792,Москва,Бумага абразивная....,19
10827,Москва,Техническое обслуживание и текущий ремонт радиоаппаратуры....,19
7827,Москва,"Монтаж, установка, сборка систем пожаротушения....",19
7512,Москва,"Лотки, накопители для бумаг пластиковые...",19
566,Брянская,Оригиналы программного обеспечения прочие,19
10531,Москва,Столы медицинские металлические,19
2146,Кемеровская область - Кузбасс,Оборудование и установки для фильтрования или очистки воздуха прочие,19
845,Брянская,"Устройства периферийные с двумя или более функциями: печать данных, копирование, сканирование, прием и передача факсимильных сообщений",19
11009,Москва,Урны уличные,19
20724,Сургут,"Работы по монтажу лифтов, эскалаторов и движущихся тротуаров, требующие специальной квалификации, включая ремонт и техническое обслуживание",19
8388,Москва,Огнезащитная обработка изделий из металла....,19
4075,Краснодарский,"Рамки для фотографий, картин или аналогичных изделий из недрагоценных металлов",19
16105,Пермский,"Книги печатные профессиональные, технические и научные",19
24501,Ямало-Ненецкий,Услуги по ремонту и техническому обслуживанию прочего профессионального электронного оборудования,19
17025,Пермский,"Средства индивидуальной защиты прочие, не включенные в другие группировки",19
7351,Москва,Кровать больничная,19
15267,Ноябрьск,"Услуги по печатанию торгово-рекламных каталогов, проспектов, плакатов и прочей печатной рекламной продукции",19
19666,Пуровский,"Услуги по дезинфекции, дезинсекции и дератизации",19
17652,Пермский,"Услуги по техническому обслуживанию и очистке систем водоотведения и дренажных труб, включая арматуру систем водоотведения",19
2979,Краснодарский,Аттракционы прочие,19
9284,Москва,Пульты микшерные аналоговые...,19
7258,Москва,Корзины для бумаг металлические...,19
23161,Шурышкарский,ОКПД 2,19
12902,Надымский,"Услуги в области медицины прочие, не включенные в другие группировки",19
8210,Москва,Оборудование и инвентарь для ухода за растениями,19
11334,Москва,Устройства защитного отключения,19
7357,Москва,Кроссовки.,19
9071,Москва,Принадлежности и расходные материалы к офтальмологическому оборудованию,19
4808,Краснодарский,Филе морской рыбы мороженое,19
11048,Москва,Услуги в области трудовых ресурсов по обеспечению рабочими по комплексному обслуживанию и ремонту зданий....,19
24264,Ямало-Ненецкий,"Услуги в области испытаний и анализа механических и электрических характеристик машин, двигателей, автомобилей, станков, приборов, аппаратуры связи и прочего комплектного оборудования, содержащего механические и электрические компоненты",19
7406,Москва,Лаки,19
22209,Тюменская,"Специализированная пищевая продукция, в том числе диетическая, не включенная в другие группировки, прочая",19
